#size, mean, median, standard deviation
500, 0.281085, 0.281085, 0.0
1000, 0.000770273, 0.000770273, 0.0
2000, 0.000596576, 0.000596576, 0.0
4000, 0.000608996, 0.000608996, 0.0
8000, 0.000657682, 0.000657682, 0.0
16000, 0.00103858, 0.00103858, 0.0
32000, 0.00157714, 0.00157714, 0.0
64000, 0.00232743, 0.00232743, 0.0
128000, 0.00530824, 0.00530824, 0.0
256000, 0.0114991, 0.0114991, 0.0
512000, 0.0134061, 0.0134061, 0.0
1024000, 0.0223822, 0.0223822, 0.0
2048000, 0.0411492, 0.0411492, 0.0
4096000, 0.0841835, 0.0841835, 0.0
8192000, 0.158198, 0.158198, 0.0
16384000, 0.304389, 0.304389, 0.0
32768000, 0.599453, 0.599453, 0.0
65536000, 1.20208, 1.20208, 0.0
#size, mean, median, standard deviation
500, 0.000136054, 0.000136054, 0.0
1000, 0.000288845, 0.000288845, 0.0
2000, 0.000420339, 0.000420339, 0.0
4000, 0.000795013, 0.000795013, 0.0
8000, 0.00165683, 0.00165683, 0.0
16000, 0.00308717, 0.00308717, 0.0
32000, 0.00519552, 0.00519552, 0.0
64000, 0.0107823, 0.0107823, 0.0
128000, 0.0211171, 0.0211171, 0.0
256000, 0.0438629, 0.0438629, 0.0
512000, 0.0902315, 0.0902315, 0.0
1024000, 0.185707, 0.185707, 0.0
2048000, 0.39197, 0.39197, 0.0
4096000, 0.784274, 0.784274, 0.0
8192000, 1.59336, 1.59336, 0.0
16384000, 3.27846, 3.27846, 0.0
32768000, 6.67175, 6.67175, 0.0
65536000, 13.761, 13.761, 0.0
#size, mean, median, standard deviation
500, 0.000136054, 0.000136054, 0.0
1000, 0.000288845, 0.000288845, 0.0
2000, 0.000420339, 0.000420339, 0.0
4000, 0.000795013, 0.000795013, 0.0
8000, 0.00165683, 0.00165683, 0.0
16000, 0.00308717, 0.00308717, 0.0
32000, 0.00519552, 0.00519552, 0.0
64000, 0.0107823, 0.0107823, 0.0
128000, 0.0211171, 0.0211171, 0.0
256000, 0.0438629, 0.0438629, 0.0
512000, 0.0902315, 0.0902315, 0.0
1024000, 0.185707, 0.185707, 0.0
2048000, 0.39197, 0.39197, 0.0
4096000, 0.784274, 0.784274, 0.0
8192000, 1.59336, 1.59336, 0.0
16384000, 3.27846, 3.27846, 0.0
32768000, 6.67175, 6.67175, 0.0
65536000, 13.761, 13.761, 0.0
#size, mean, median, standard deviation
500, 3.06455e-05, 3.06455e-05, 0.0
1000, 5.4525e-05, 5.4525e-05, 0.0
2000, 0.0001151665, 0.0001151665, 0.0
4000, 0.00021637025, 0.00021637025, 0.0
8000, 0.0006447905, 0.0006447905, 0.0
16000, 0.0010818455, 0.0010818455, 0.0
32000, 0.002909485, 0.002909485, 0.0
64000, 0.00479405, 0.00479405, 0.0
128000, 0.008934975, 0.008934975, 0.0
256000, 0.01815435, 0.01815435, 0.0
512000, 0.04368655, 0.04368655, 0.0
1024000, 0.0790342, 0.0790342, 0.0
2048000, 0.163111025, 0.163111025, 0.0
4096000, 0.3384145, 0.3384145, 0.0
8192000, 0.7011035, 0.7011035, 0.0
16384000, 1.51167575, 1.51167575, 0.0
32768000, 3.313735, 3.313735, 0.0
65536000, 6.9261775, 6.9261775, 0.0
